iter	Passed	Remaining
0	59	59469
1	59	29851
2	60	19969
3	60	15051
4	60	12079
5	61	10105
6	61	8693
7	61	7634
8	61	6802
9	62	6142
10	62	5600
11	62	5157
12	62	4770
13	63	4442
14	63	4156
15	63	3906
16	63	3686
17	63	3489
18	64	3315
19	64	3162
20	64	3024
21	65	2895
22	65	2776
23	65	2666
24	65	2565
25	65	2471
26	66	2388
27	66	2307
28	66	2233
29	66	2165
30	67	2102
31	67	2039
32	67	1982
33	67	1928
34	68	1876
35	68	1828
36	68	1782
37	68	1742
38	69	1701
39	69	1666
40	69	1630
41	69	1596
42	70	1563
43	70	1533
44	70	1502
45	71	1473
46	71	1446
47	71	1420
48	71	1395
49	72	1371
50	72	1347
51	72	1325
52	72	1303
53	73	1282
54	73	1261
55	73	1242
56	73	1223
57	74	1205
58	74	1188
59	74	1171
60	75	1155
61	75	1139
62	75	1124
63	75	1109
64	76	1094
65	76	1081
66	76	1068
67	76	1054
68	77	1041
69	77	1028
70	77	1015
71	77	1003
72	78	991
73	78	980
74	78	970
75	78	959
76	79	950
77	79	941
78	79	931
79	80	924
80	80	916
81	80	906
82	81	896
83	81	887
84	81	878
85	81	870
86	82	862
87	82	854
88	82	846
89	83	848
90	84	840
91	84	832
92	84	825
93	84	818
94	85	810
95	85	803
96	85	796
97	85	789
98	86	783
99	86	777
100	86	770
101	86	765
102	87	759
103	87	752
104	87	746
105	87	741
106	88	736
107	88	731
108	88	726
109	89	720
110	89	715
111	89	710
112	89	704
113	90	700
114	90	695
115	90	689
116	90	684
117	90	679
118	91	675
119	91	670
120	91	665
121	91	660
122	92	656
123	92	652
124	92	648
125	92	644
126	93	639
127	93	635
128	93	632
129	93	627
130	94	623
131	94	619
132	94	616
133	94	612
134	95	609
135	95	605
136	95	602
137	95	599
138	96	596
139	96	592
140	96	589
141	96	585
142	97	582
143	97	579
144	97	576
145	98	573
146	98	570
147	98	567
148	98	563
149	98	560
150	99	557
151	99	554
152	99	551
153	99	548
154	100	545
155	100	542
156	100	540
157	100	537
158	101	534
159	101	531
160	101	529
161	101	526
162	102	523
163	102	521
164	102	518
165	102	516
166	102	513
167	103	511
168	103	508
169	103	506
170	104	504
171	104	502
172	104	500
173	104	498
174	105	495
175	105	493
176	105	491
177	105	489
178	106	487
179	106	485
180	106	483
181	106	480
182	107	478
183	107	476
184	107	474
185	107	472
186	108	472
187	109	470
188	109	468
189	109	466
190	109	464
191	109	462
192	110	460
193	110	459
194	110	457
195	111	455
196	111	454
197	111	452
198	112	450
199	112	449
200	112	447
201	112	445
202	112	443
203	113	441
204	113	439
205	113	438
206	113	436
207	114	434
208	114	432
209	114	431
210	114	429
211	115	428
212	115	426
213	115	425
214	116	423
215	116	422
216	116	420
217	116	419
218	117	417
219	117	415
220	117	414
221	117	413
222	118	411
223	118	410
224	118	409
225	118	407
226	119	405
227	119	404
228	119	403
229	119	401
230	120	400
231	121	401
232	121	399
233	121	398
234	121	397
235	122	395
236	122	394
237	122	392
238	122	391
239	123	389
240	123	388
241	123	387
242	123	386
243	124	384
244	124	384
245	124	382
246	125	381
247	125	380
248	125	378
249	126	378
250	126	376
251	126	375
252	126	374
253	127	373
254	127	372
255	127	371
256	128	370
257	128	369
258	128	368
259	128	367
260	129	365
261	129	364
262	129	363
263	130	362
264	130	361
265	130	360
266	131	359
267	131	358
268	131	357
269	131	356
270	132	355
271	132	354
272	132	353
273	132	352
274	133	350
275	133	350
276	133	348
277	134	348
278	134	347
279	134	346
280	134	345
281	135	344
282	135	343
283	135	341
284	135	340
285	136	339
286	136	338
287	136	337
288	136	336
289	137	336
290	137	335
291	137	334
292	138	333
293	138	332
294	138	331
295	138	330
296	139	329
297	139	328
298	139	327
299	140	326
300	140	325
301	140	324
302	140	323
303	141	322
304	141	321
305	142	322
306	142	321
307	142	320
308	142	319
309	143	318
310	143	317
311	143	316
312	143	315
313	144	314
314	144	313
315	144	313
316	144	312
317	145	311
318	145	310
319	145	309
320	146	308
321	146	307
322	146	307
323	146	306
324	147	305
325	147	304
326	147	303
327	147	302
328	147	301
329	148	300
330	148	299
331	148	298
332	148	298
333	149	297
334	149	296
335	149	295
336	149	295
337	150	294
338	150	293
339	150	292
340	151	292
341	151	291
342	151	290
343	152	290
344	152	289
345	152	288
346	152	287
347	153	287
348	153	286
349	153	285
